transaction_date,balance
2019-08-01,1407920.1499999997
2019-08-02,1405034.7999999996
2019-08-03,1405034.7999999996
2019-08-04,1413034.7999999996
2019-08-05,1415521.9299999995
2019-08-06,1415562.2199999995
2019-08-07,1416308.8399999996
2019-08-08,1414808.8399999996
2019-08-09,1414607.5499999996
2019-08-10,1414607.5499999996
2019-08-11,1414607.5499999996
2019-08-12,1413243.1599999997
2019-08-13,1416214.7299999997
2019-08-14,1416301.4299999997
2019-08-15,1372052.7499999998
2019-08-16,1372368.7599999998
2019-08-17,1365546.2599999998
2019-08-18,1475146.2599999998
2019-08-19,1475934.13
2019-08-20,1476320.8199999998
2019-08-21,1473820.8199999998
2019-08-22,1471690.8199999998
2019-08-23,1469196.8699999999
2019-08-24,1469196.8699999999
2019-08-25,1469196.8699999999
2019-08-26,1464954.5499999998
2019-08-27,1468122.7399999998
2019-08-28,1517647.0799999998
2019-08-29,1524120.69
2019-08-30,1518276.42
2019-08-31,1518276.42
2019-09-01,1518377.7
2019-09-02,1518377.7
2019-09-03,1506711.3399999999
2019-09-04,1511144.15
2019-09-05,1511264.24
2019-09-06,1511330.53
2019-09-07,1511330.53
2019-09-08,1511330.53
2019-09-09,1511435.6400000001
2019-09-10,1512884.6400000001
2019-09-11,1513033.9700000002
2019-09-12,1512533.9700000002
2019-09-13,1507484.2400000002
2019-09-14,1508914.6400000001
2019-09-15,1509175.9200000002
2019-09-16,1504214.86
2019-09-17,1614967.2200000002
2019-09-18,1612964.6700000002
2019-09-19,1612577.5200000003
2019-09-20,1612844.8700000003
2019-09-21,1612844.8700000003
2019-09-22,1612844.8700000003
2019-09-23,1612672.2300000004
2019-09-24,1614158.5100000005
2019-09-25,1614175.3300000005
2019-09-26,1611885.5100000005
2019-09-27,1663392.0100000005
2019-09-28,1671392.0100000005
2019-09-29,1671392.0100000005
2019-09-30,1667157.2800000005
2019-10-01,1671395.9200000004
2019-10-02,1669679.2700000005
2019-10-03,1676489.4300000004
2019-10-04,1680657.8100000003
2019-10-05,1680657.8100000003
2019-10-06,1680657.8100000003
2019-10-07,1677101.4900000002
2019-10-08,1679996.2700000003
2019-10-09,1679996.2700000003
2019-10-10,1679983.0800000003
2019-10-11,1679992.1700000004
2019-10-12,1679992.1700000004
2019-10-13,1679924.6500000004
2019-10-14,1681355.0500000003
2019-10-15,1676670.7000000002
2019-10-16,1669718.4400000002
2019-10-17,1746146.8000000003
2019-10-18,1746674.3100000003
2019-10-19,1746674.3100000003
2019-10-20,1746674.3100000003
2019-10-21,1746829.7700000003
2019-10-22,1748876.5300000003
2019-10-23,1748904.4500000002
2019-10-24,1749565.7700000003
2019-10-25,1746951.9300000002
2019-10-26,1746951.9300000002
2019-10-27,1796207.9300000002
2019-10-28,1806417.0500000003
2019-10-29,1806889.0100000002
2019-10-30,1806919.7600000002
2019-10-31,1801842.2900000003
2019-11-01,1804369.0800000003
2019-11-02,1812369.0800000003
2019-11-03,1812369.0800000003
2019-11-04,1811902.8200000003
2019-11-05,1814181.7600000002
2019-11-06,1814369.7600000002
2019-11-07,1814374.9100000001
2019-11-08,1814374.9100000001
2019-11-09,1814374.9100000001
2019-11-10,1814374.9100000001
2019-11-11,1814374.9100000001
2019-11-12,1811080.36
2019-11-13,1812527.35
2019-11-14,1812808.86
2019-11-15,1801567.79
2019-11-16,1911167.79
2019-11-17,1911654.19
2019-11-18,1911027.71
2019-11-19,1912616.58
2019-11-20,1912798.6400000001
2019-11-21,1912798.6400000001
2019-11-22,1912830.3900000001
2019-11-23,1912830.3900000001
2019-11-24,1912830.3900000001
2019-11-25,1909852.6900000002
2019-11-26,1956419.6500000001
2019-11-27,1967428.58
2019-11-28,1967545.01
2019-11-29,1962260.95
2019-11-30,1962355.9
2019-12-01,1962355.9
2019-12-02,1972482.0499999998
2019-12-03,1971239.9799999997
2019-12-04,1974584.6399999997
2019-12-05,1974571.8699999996
2019-12-06,1974106.3899999997
2019-12-07,1974106.3899999997
2019-12-08,1974106.3899999997
2019-12-09,1975308.7499999998
